Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Order Year,Order Month
11,CA-2014-115812,06-09-2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,FUR-TA-10001539,Furniture,Furniture,Chromcraft Rectangular Conference Tables,1706.18,9.00,20.00%,85.31,5%,2014,9
12,CA-2014-115812,06-09-2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4.00,20.00%,68.36,8%,2014,9
13,CA-2017-114412,,,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027.00,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3.00,20.00%,5.44,35%,1900,1
14,CA-2016-161389,12-05-2016,12-10-2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.00,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3.00,20.00%,132.59,33%,2016,5
15,US-2015-118983,,,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.00,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5.00,80.00%,-123.86,-180%,1900,1
16,US-2015-118983,,,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.00,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3.00,80.00%,-3.82,-150%,1900,1
17,CA-2014-105893,11-11-2014,,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711.00,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1-2""D",665.88,6.00,0.00%,13.32,2%,2014,11
18,CA-2014-167164,,,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084.00,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor-Drawer,55.50,2.00,0.00%,9.99,18%,1900,1
19,CA-2014-143336,,09-01-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.00,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.00,0.00%,2.48,29%,1900,1
20,CA-2014-143336,,09-01-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.00,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3.00,20.00%,16.01,8%,1900,1
21,CA-2014-143336,,09-01-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.00,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.00,20.00%,7.38,33%,1900,1
22,CA-2016-137330,12-09-2016,,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.00,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.00,0.00%,5.06,26%,2016,9
23,CA-2016-137330,12-09-2016,,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.00,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.00,0.00%,15.69,26%,2016,9
24,US-2017-156909,,,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2.00,30.00%,-1.02,-1%,1900,1
25,CA-2015-106320,,,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057.00,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.00,0.00%,240.26,23%,1900,1
26,CA-2016-121755,,,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.00,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2.00,20.00%,4.22,36%,1900,1
27,CA-2016-121755,,,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.00,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3.00,0.00%,11.77,13%,1900,1
28,US-2015-150630,,,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.00,50.00%,-1665.05,-54%,1900,1
29,US-2015-150630,,,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2.00,70.00%,-7.05,-73%,1900,1
30,US-2015-150630,,,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3-4"" Diameter Brushed Chrome Round Wall Clock",124.20,3.00,20.00%,15.53,13%,1900,1
31,US-2015-150630,,,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2.00,20.00%,1.10,34%,1900,1
32,US-2015-150630,,,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty-Woodgrain",86.30,6.00,20.00%,9.71,11%,1900,1
33,US-2015-150630,,,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7-8"" x 11"", Executive Red",6.86,6.00,70.00%,-5.72,-83%,1900,1
34,US-2015-150630,,,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2.00,20.00%,3.55,23%,1900,1
35,CA-2017-107727,,,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095.00,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,3.00,20.00%,9.95,34%,1900,1
36,CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.00,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7.00,20.00%,123.47,11%,2016,8
37,CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.00,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.00,60.00%,-147.96,-78%,2016,8
38,CA-2015-117415,,,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1-8"" x 9 1-2"" Premium Diagonal Seam Envelopes",113.33,9.00,20.00%,35.42,31%,1900,1
39,CA-2015-117415,,,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3.00,32.00%,-46.98,-9%,1900,1
40,CA-2015-117415,,,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3.00,30.00%,-15.15,-7%,1900,1
41,CA-2015-117415,,,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4.00,20.00%,41.76,11%,1900,1
42,CA-2017-120999,09-10-2017,,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540.00,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4.00,20.00%,16.56,11%,2017,10
43,CA-2016-101343,,,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049.00,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.00,0.00%,3.89,5%,1900,1
44,CA-2017-139619,,,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935.00,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2.00,20.00%,9.56,10%,1900,1
45,CA-2016-118255,03-11-2016,,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.00,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25-Pack",45.98,2.00,0.00%,19.77,43%,2016,11
46,CA-2016-118255,03-11-2016,,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.00,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.00,0.00%,8.21,47%,2016,11
47,CA-2014-146703,,,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185.00,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3-8w x 5-1-4d x 20-1-2h, Black",211.96,4.00,0.00%,8.48,4%,1900,1
48,CA-2016-169194,,,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.00,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3.00,0.00%,4.95,11%,1900,1
49,CA-2016-169194,,,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.00,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2.00,0.00%,6.10,28%,1900,1
50,CA-2015-115742,,,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3-4 x 5-1-8, 10-Pack",38.22,6.00,0.00%,17.96,47%,1900,1
51,CA-2015-115742,,,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6.00,0.00%,35.33,47%,1900,1
52,CA-2015-115742,,,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.00,0.00%,2.96,48%,1900,1
53,CA-2015-115742,,,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.00,0.00%,17.10,19%,1900,1
54,CA-2016-105816,12-11-2016,,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.00,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.00,0.00%,6.26,41%,2016,11
55,CA-2016-105816,12-11-2016,,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.00,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.00,0.00%,298.69,29%,2016,11
56,CA-2016-111682,,,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-ST-10000604,Office Supplies,Storage,Home-Office Personal File Carts,208.56,6.00,0.00%,52.14,25%,1900,1
57,CA-2016-111682,,,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40,5.00,0.00%,15.55,48%,1900,1
58,CA-2016-111682,,,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.00,10.00%,7.10,2%,1900,1
59,CA-2016-111682,,,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.00,0.00%,6.99,48%,1900,1
60,CA-2016-111682,,,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,2.00,0.00%,3.30,11%,1900,1
61,CA-2016-111682,,,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.00,20.00%,16.36,34%,1900,1
62,CA-2016-111682,,,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.00,0.00%,0.84,50%,1900,1
63,CA-2015-135545,,,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3-Pack",13.98,2.00,0.00%,6.15,44%,1900,1
64,CA-2015-135545,,,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7-8"" X 11""",25.82,6.00,20.00%,9.36,36%,1900,1
65,CA-2015-135545,,,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3.00,0.00%,68.96,47%,1900,1
66,CA-2015-135545,,,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.00,0.00%,22.33,28%,1900,1
67,US-2015-164175,,05-05-2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610.00,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5.00,30.00%,-15.22,-7%,1900,1
68,CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.00,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8.00,20.00%,111.30,10%,2014,5
69,CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.00,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4.00,20.00%,62.99,38%,2014,5
70,CA-2016-119823,06-04-2016,06-06-2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.00,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.00,0.00%,35.66,47%,2016,4
71,CA-2016-106075,,,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009.00,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1.00,20.00%,1.73,38%,1900,1
72,CA-2017-114440,,,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201.00,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax-Mobile Section, 5 1-2"" x 3 3-16""",19.05,3.00,0.00%,8.76,46%,1900,1
73,US-2015-134026,,05-02-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.00,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8.00,20.00%,-114.39,-14%,1900,1
74,US-2015-134026,,05-02-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.00,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2.00,20.00%,1.21,1%,1900,1
75,US-2015-134026,,05-02-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.00,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1.00,20.00%,-18.20,-25%,1900,1
76,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.00,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3.00,80.00%,-1.93,-155%,2017,9
77,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.00,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3.00,60.00%,-5.82,-60%,2017,9
78,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.00,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15-16d x 11-1-4h",27.24,3.00,20.00%,2.72,10%,2017,9
79,US-2014-147606,,12-01-2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070.00,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5.00,60.00%,-14.48,-75%,1900,1
80,CA-2016-127208,06-12-2016,,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.00,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.00,0.00%,56.20,27%,2016,12
81,CA-2016-127208,06-12-2016,,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.00,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.00,0.00%,8.04,48%,2016,12
82,CA-2014-139451,10-12-2014,,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.00,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5.00,0.00%,4.17,28%,2014,12
83,CA-2014-139451,10-12-2014,,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.00,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.00,0.00%,6.20,29%,2014,12
84,CA-2015-149734,09-03-2015,09-08-2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707.00,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7.00,20.00%,62.81,31%,2015,3
85,US-2017-119662,,,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623.00,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3.00,20.00%,-48.95,-21%,1900,1
86,CA-2017-140088,,,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203.00,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.00,0.00%,33.22,11%,1900,1
87,CA-2017-155558,,11-02-2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901.00,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.00,0.00%,6.80,34%,1900,1
88,CA-2017-155558,,11-02-2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901.00,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2.00,0.00%,2.96,48%,1900,1
89,CA-2016-159695,04-05-2016,04-10-2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095.00,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7.00,20.00%,13.86,9%,2016,5
90,CA-2016-109806,,,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.00,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3.00,0.00%,6.63,33%,1900,1
91,CA-2016-109806,,,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.00,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2.00,20.00%,8.28,11%,1900,1
92,CA-2016-109806,,,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.00,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1.00,0.00%,3.11,48%,1900,1
93,CA-2015-149587,,02-05-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.00,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2.00,0.00%,6.22,48%,1900,1
94,CA-2015-149587,,02-05-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.00,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1-2"" Wall Clock",53.34,3.00,0.00%,16.54,31%,1900,1
95,CA-2015-149587,,02-05-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.00,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2.00,0.00%,16.15,49%,1900,1
96,US-2017-109484,11-06-2017,11-12-2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206.00,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1.00,70.00%,-3.79,-67%,2017,6
97,CA-2017-161018,11-09-2017,11-11-2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009.00,East,FUR-FU-10000629,Furniture,Furnishings,9-3-4 Diameter Round Wall Clock,96.53,7.00,0.00%,40.54,42%,2017,9
98,CA-2017-157833,,,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122.00,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3.00,20.00%,17.96,35%,1900,1
99,CA-2016-149223,09-06-2016,09-11-2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106.00,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home-Office Series Surge Protectors,77.88,6.00,0.00%,22.59,29%,2016,6
100,CA-2016-158568,,09-02-2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.00,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7.00,20.00%,22.62,35%,1900,1
101,CA-2016-158568,,09-02-2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.00,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3.00,20.00%,-10.80,-11%,1900,1
102,CA-2016-158568,,09-02-2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.00,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,3.00,80.00%,-3.04,-170%,1900,1
103,CA-2016-129903,12-01-2016,12-04-2016,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901.00,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier-Laser Paper (20Lb. and 87 Bright),23.92,4.00,0.00%,11.72,49%,2016,1
